Province/State,Country/Region,Lat,Long,02/28/2020,02/29/2020,03/01/2020,03/02/2020,03/03/2020,03/04/2020,03/05/2020,03/06/2020,03/07/2020,03/08/2020,03/09/2020,03/10/2020,03/11/2020,03/12/2020,03/13/2020,03/14/2020,03/15/2020,03/16/2020,03/17/2020,03/18/2020,03/19/2020,03/20/2020,03/21/2020,03/22/2020,03/23/2020,03/24/2020,03/25/2020,03/26/2020,03/27/2020,03/28/2020,03/29/2020,03/30/2020,03/31/2020,04/01/2020,04/02/2020,04/03/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020
SC,US,20,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,7.0,9.0,10.0,12.0,13.0,19.0,28.0,33.0,60.0,60.0,81.0,152.0,195.0,299.0,298.0,424.0,456.0,456.0,539.0,774.0,925.0,1083.0,1293.0,1554.0,1554.0,1917.0,2049.0,2049.0,2417.0,2552.0,2792.0
SD,US,20,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,9.0,9.0,9.0,10.0,11.0,11.0,11.0,14.0,14.0,21.0,28.0,30.0,41.0,30.0,37.0,42.0,61.0,67.0,64.0,78.0,108.0,118.0,136.0,156.0,197.0,222.0,247.0,286.0
TN,US,20,70,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,7.0,7.0,18.0,26.0,32.0,39.0,52.0,73.0,98.0,154.0,228.0,371.0,505.0,615.0,667.0,784.0,957.0,1203.0,1373.0,1537.0,1834.0,2118.0,2546.0,2625.0,2819.0,2905.0,3338.0,3446.0,3672.0,3770.0,3713.0
TX,US,20,70,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,8.0,8.0,12.0,13.0,21.0,23.0,39.0,51.0,56.0,57.0,64.0,83.0,143.0,194.0,304.0,334.0,352.0,410.0,974.0,1396.0,1731.0,2052.0,2552.0,2839.0,3228.0,3959.0,4631.0,5292.0,6072.0,6774.0,7238.0,8224.0,9315.0,9129.0
UT,US,20,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,6.0,6.0,28.0,39.0,51.0,63.0,78.0,112.0,136.0,181.0,257.0,299.0,346.0,402.0,480.0,602.0,719.0,806.0,887.0,1012.0,1074.0,1246.0,1428.0,1605.0,1675.0,1738.0,1846.0,1976.0
VA,US,20,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,8.0,9.0,17.0,30.0,30.0,45.0,51.0,67.0,77.0,94.0,114.0,152.0,219.0,254.0,290.0,391.0,460.0,604.0,739.0,890.0,1020.0,1250.0,1484.0,1706.0,2012.0,2407.0,2637.0,2878.0,3333.0,3645.0,4042.0
VI,US,20,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,6.0,6.0,17.0,17.0,17.0,17.0,19.0,22.0,23.0,30.0,9.0,9.0,8.0,9.0,6.0,8.0,7.0,7.0,6.0,7.0
VT,US,20,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,8.0,10.0,19.0,22.0,29.0,29.0,52.0,75.0,95.0,123.0,158.0,184.0,211.0,235.0,256.0,278.0,306.0,323.0,374.0,446.0,497.0,528.0,560.0,590.0,613.0
WA,US,20,70,9.0,18.0,30.0,34.0,58.0,76.0,96.0,149.0,180.0,245.0,342.0,389.0,472.0,541.0,691.0,790.0,921.0,1048.0,1211.0,1380.0,1527.0,1765.0,1997.0,2233.0,2440.0,2810.0,3259.0,3727.0,4228.0,4720.0,5116.0,5566.0,6048.0,6645.0,7021.0,7633.0,8038.0,8434.0,8760.0,9097.0,9097.0,9097.0
WI,US,20,70,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,8.0,19.0,19.0,33.0,47.0,72.0,106.0,155.0,206.0,281.0,385.0,416.0,457.0,585.0,707.0,842.0,989.0,1112.0,1221.0,1351.0,1550.0,1730.0,1912.0,2112.0,2267.0,2440.0,2578.0,2756.0,2885.0
WV,US,20,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,11.0,12.0,16.0,20.0,39.0,51.0,76.0,96.0,113.0,126.0,162.0,191.0,217.0,237.0,282.0,324.0,345.0,412.0,462.0,523.0
WY,US,20,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,10.0,15.0,18.0,19.0,23.0,24.0,26.0,29.0,37.0,41.0,53.0,64.0,66.0,70.0,83.0,99.0,119.0,125.0,138.0,147.0,158.0,154.0,159.0,136.0
